,min_loss_val,max_acc_val,h_layers,heights,lr,batch_size,keep_rates,reshuff,max_strikes,max_consec,epochs_min_loss_val,total_sec
4.24E+17,0.312987817,0.8879,3,"expanding, (1635 => 1699)",0.000651126,4167,"range: (0.9371481803856692, 1)",FALSE,2,2,10,411.1
2.06E+18,0.311763273,0.888,4,"expanding, (1641 => 1742)",0.000341237,4644,"range: (0.9626583701139548, 1)",FALSE,2,2,11,621.25
8.32E+17,0.311736792,0.888,3,"flat, (1155 => 1155)",0.000831876,3545,"range: (0.9512102165873247, 1)",FALSE,2,2,9,195.39
2.20E+18,0.314207195,0.888,2,"contracting, (1910 => 1854)",0.000380904,4047,"range: (0.9399264051370791, 1)",FALSE,2,2,14,416.75
1.08E+18,0.313666598,0.8881,1,"expanding, (869 => 1392)",0.000785151,52,"range: (0.936306883351468, 1)",TRUE,2,2,6,130.07
1.03E+18,0.314331303,0.8881,3,"contracting, (1945 => 1777)",0.000811286,4809,"range: (0.9480897720871094, 1)",TRUE,2,2,11,556.25
1.39E+18,0.308004163,0.8883,2,"contracting, (2406 => 2250)",0.000559646,3110,"range: (0.9988918090688782, 1)",FALSE,2,2,10,395.05
2.22E+16,0.315755825,0.8884,4,"contracting, (928 => 562)",0.000757964,4320,"range: (0.941016864502516, 1)",TRUE,2,2,12,223.83
2.00E+18,0.31504688,0.8886,3,"flat, (1886 => 1886)",0.000789549,1730,"range: (0.9825256591458619, 1)",TRUE,2,2,8,402.62
3.57E+17,0.310840468,0.8888,2,"flat, (2275 => 2275)",0.00075,2830,"range: (0.9618742325140307, 1)",FALSE,2,2,10,393.62
2.25E+18,0.314946352,0.8889,3,"expanding, (945 => 1032)",0.000372373,968,"range: (0.990171437679217, 1)",FALSE,2,2,8,191.71
6.91E+16,0.316025129,0.8891,3,"contracting, (2485 => 1265)",0.000981943,1334,"range: (0.9836599275785269, 1)",TRUE,2,2,7,329.58
5.86E+17,0.317161655,0.8893,2,"flat, (2217 => 2217)",0.000958409,8384,"range: (0.9574205412071565, 1)",FALSE,2,2,19,602.75
8.51E+17,0.309278485,0.8893,2,"flat, (2277 => 2277)",0.000578161,2521,"range: (0.9730401212750497, 1)",FALSE,2,2,9,412.29
5.64E+17,0.308951007,0.8895,3,"contracting, (1640 => 1406)",0.000712476,3560,"range: (0.9991575870542908, 1)",FALSE,2,2,9,392.46
1.16E+18,0.324211257,0.8896,6,"contracting, (883 => 1277)",0.000286484,3216,"range: (0.9801554674727629, 1)",FALSE,2,2,8,473.56
4.78E+17,0.307763322,0.8896,2,"flat, (2018 => 2018)",0.000747646,2570,"range: (0.9930805604205017, 1)",FALSE,2,2,12,399.99
5.03137E+15,0.314702159,0.8898,5,"contracting, (1277 => 974)",0.000807569,3310,"range: (0.9704158428480714, 1)",TRUE,2,2,10,414.16
1.90E+18,0.306181236,0.8902,4,"expanding, (739 => 1065)",0.000697464,812,"range: (0.9299685680714165, 1)",FALSE,2,2,8,205.54
1.60E+17,0.308744808,0.8902,2,"expanding, (1966 => 2213)",0.000561006,4437,"range: (0.9847359797214043, 1)",FALSE,2,2,15,507.22
2.25E+18,0.312130826,0.8902,2,"contracting, (2373 => 1527)",0.000540133,3773,"range: (0.9913188453428982, 1)",FALSE,2,2,12,369.26
2.23E+18,0.309000565,0.8903,4,"flat, (1257 => 1257)",0.000712415,2202,"range: (0.9818383588286673, 1)",TRUE,2,2,7,355.92
5.28E+16,0.304924733,0.8926,2,"expanding, (897 => 1476)",0.000753636,402,"range: (0.9997875548825834, 1)",FALSE,2,2,7,167.27
1.21E+18,0.31556199,0.8927,3,"flat, (1782 => 1782)",0.000700149,1046,"range: (0.9062781539228775, 1)",TRUE,2,2,5,425.33
1.36E+18,0.304246057,0.8927,2,"contracting, (2372 => 2212)",0.000548921,3193,"range: (0.9998225539494774, 1)",FALSE,2,2,12,463.07
1.08E+18,0.304655241,0.8927,3,"flat, (1455 => 1455)",0.000826305,2366,"range: (0.9742731065098073, 1)",FALSE,2,2,11,368.31
1.18E+18,0.300881732,0.8928,2,"expanding, (860 => 1318)",0.00076622,1039,"range: (0.9963679433526818, 1)",FALSE,2,2,8,119.59
1.14E+18,0.305412067,0.8928,3,"expanding, (1313 => 1959)",0.000848394,1378,"range: (0.9399251001579747, 1)",FALSE,2,2,8,290.1
5.14E+17,0.306259955,0.8936,1,"expanding, (1060 => 1735)",0.000680789,269,"range: (0.9987762886945606, 1)",FALSE,2,2,11,128.88
2.19E+18,0.302602241,0.8945,2,"contracting, (2382 => 1427)",0.000891709,979,"range: (0.9219362813698884, 1)",TRUE,2,2,9,294.02
1.55E+18,0.296820049,0.8948,3,"flat, (1868 => 1868)",0.000727404,1680,"range: (0.9355129444418089, 1)",TRUE,2,2,9,411.99
6.38E+17,0.299360848,0.8958,2,"flat, (2147 => 2147)",0.000738942,2509,"range: (0.9732144341134844, 1)",FALSE,2,2,14,484.84
